szenario;modell;phase;modellpaar;startelement;connection;end_element;gruppe
controlled;gemm4_e4b;2;Actors/Resources Model -> Goal Model;Role Product Owner;is responsible for;Goal Providing most energy-efficient heating solution in market;reference
controlled;gemm4_e4b;2;Actors/Resources Model -> Business Process Model;Role Product Owner;performs;Process target setting;reference
controlled;gemm4_e4b;2;Actors/Resources Model -> Business Process Model;Role Product Owner;performs;Process define the product specification;reference
controlled;gemm4_e4b;2;Actors/Resources Model -> Product/Service Model;Role Product Owner;is responsible for;Feature energy-efficient;class_1
controlled;gemm4_e4b;2;Actors/Resources Model -> Goal Model;Role Product designer;is responsible for;Goal Minimize energy consumption of heat pump;reference
controlled;gemm4_e4b;2;Actors/Resources Model -> Business Process Model;Role Product designer;performs;Process Product design;reference
controlled;gemm4_e4b;2;Actors/Resources Model -> Product/Service Model;Role Product designer;is responsible for;Feature energy-efficient;class_1
controlled;gemm4_e4b;2;Business Process Model -> Concept Model;Process target setting;uses;Concept Customer Survey;class_2
controlled;gemm4_e4b;2;Business Process Model -> Concept Model;Process target setting;Output;Concept Target Feature;class_2
controlled;gemm4_e4b;2;Business Process Model -> Concept Model;Process define the product specification;uses;Concept Target Feature;class_2
controlled;gemm4_e4b;2;Business Process Model -> Concept Model;Process define the product specification;Output;Concept Specification Document;class_2
controlled;gemm4_e4b;2;Business Process Model -> Concept Model;Process Product design;uses;Concept Specification Document;class_2
controlled;gemm4_e4b;2;Business Process Model -> Concept Model;Process Product design;Output;Concept Design description;class_2
controlled;gemm4_e4b;3;Goal Model -> Concept Model;Goal Providing most energy-efficient heating solution in market;motivates;Attribute Energy-efficiency;class_2
controlled;gemm4_e4b;3;Goal Model -> Business Process Model;Goal Providing most energy-efficient heating solution in market;motivates;Process target setting;class_1
controlled;gemm4_e4b;3;Goal Model -> Concept Model;Problem Energy consumption of current product version is too high;Defined by;Attribute Energy consumption;class_2
controlled;gemm4_e4b;3;Goal Model -> Business Process Model;Problem Energy consumption of current product version is too high;motivates;Process target setting;class_1
controlled;gemm4_e4b;3;Goal Model -> Concept Model;Goal Minimize energy consumption of heat pump;Supports;Attribute Energy consumption;class_2
controlled;gemm4_e4b;3;Goal Model -> Business Process Model;Goal Minimize energy consumption of heat pump;requires;Process define the product specification;class_1
controlled;gemm4_e4b;3;Goal Model -> Concept Model;Goal Produce remaining energy required by heat pump with photovoltaic module;Supports;Concept Zero-emission energy production;connector_class_2
controlled;gemm4_e4b;3;Goal Model -> Business Process Model;Goal Produce remaining energy required by heat pump with photovoltaic module;requires;Process define the product specification;class_1
controlled;gemm4_e4b;3;Goal Model -> Concept Model;Constraint Maximum energy production of photovoltaic module is 50 kWh;Hinders;Attribute Energy consumption;class_0
controlled;gemm4_e4b;3;Goal Model -> Business Process Model;Constraint Maximum energy production of photovoltaic module is 50 kWh;Affects;Process define the product specification;class_1
controlled;gemm4_e4b;3;Goal Model -> Concept Model;Goal Develop new heat extractor with very low energy consumption;Supports;Attribute Energy-efficiency;class_1
controlled;gemm4_e4b;3;Goal Model -> Business Process Model;Goal Develop new heat extractor with very low energy consumption;requires;Process define the product specification;class_1
controlled;gemm4_e4b;3;Goal Model -> Concept Model;Goal Re-design existing heat extractor bay adapting it for a new refrigerant;Supports;Concept Heat pump;class_1
controlled;gemm4_e4b;3;Goal Model -> Business Process Model;Goal Re-design existing heat extractor bay adapting it for a new refrigerant;requires;Process define the product specification;class_1
controlled;gemm4_e4b;3;Goal Model -> Business Process Model;Problem Short period for development;Affects;Process Product design;class_1
controlled;gemm4_e4b;3;Goal Model -> Business Process Model;Problem New refrigerants are very expensive;Affects;Process Product design;class_1
controlled;gemm4_e4b;3;Actors/Resources Model -> Goal Model;Role Product Owner;is responsible for;Goal Providing most energy-efficient heating solution in market;reference
controlled;gemm4_e4b;3;Actors/Resources Model -> Business Process Model;Role Product Owner;performs;Process target setting;reference
controlled;gemm4_e4b;3;Actors/Resources Model -> Business Process Model;Role Product Owner;performs;Process define the product specification;reference
controlled;gemm4_e4b;3;Actors/Resources Model -> Technical Components/Requirements Model;Role Product Owner;is responsible for;IS Technical Component Production system;class_0
controlled;gemm4_e4b;3;Actors/Resources Model -> Goal Model;Role Product designer;is responsible for;Goal Minimize energy consumption of heat pump;reference
controlled;gemm4_e4b;3;Actors/Resources Model -> Business Process Model;Role Product designer;performs;Process Product design;reference
controlled;gemm4_e4b;3;Actors/Resources Model -> Marketing Model;Organizational Unit Marketing department;is responsible for;Process Plan marketing campaign;reference
controlled;gemm4_e4b;3;Actors/Resources Model -> Marketing Model;Organizational Unit Marketing department;is responsible for;Process Run social media campaign;reference
controlled;gemm4_e4b;3;Actors/Resources Model -> Marketing Model;Organizational Unit Marketing department;is responsible for;Process Run print media campaign;reference
controlled;gemm4_e4b;3;Actors/Resources Model -> Marketing Model;Organizational Unit Marketing department;is responsible for;Process Supervise campaign results;reference
controlled;gemm4_e4b;3;Actors/Resources Model -> Marketing Model;Organizational Unit Social media group;performs;Process Run social media campaign;class_1
controlled;gemm4_e4b;3;Actors/Resources Model -> Marketing Model;Organizational Unit Print media group;performs;Process Run print media campaign;class_1
controlled;gemm4_e4b;3;Business Process Model -> Concept Model;Process target setting;uses;Concept Customer Survey;class_2
controlled;gemm4_e4b;3;Business Process Model -> Concept Model;Process target setting;creates;Concept Target Feature;class_2
controlled;gemm4_e4b;3;Business Process Model -> Technical Components/Requirements Model;Process target setting;Supports;IS Technical Component Production system;class_0
controlled;gemm4_e4b;3;Business Process Model -> Technical Components/Requirements Model;Process target setting;Supports;IS Technical Component Version management system;class_0
controlled;gemm4_e4b;3;Business Process Model -> Concept Model;Process define the product specification;uses;Concept Target Feature;class_2
controlled;gemm4_e4b;3;Business Process Model -> Concept Model;Process define the product specification;creates;Concept Specification Document;class_2
controlled;gemm4_e4b;3;Business Process Model -> Technical Components/Requirements Model;Process define the product specification;Supports;IS Technical Component Production system;class_0
controlled;gemm4_e4b;3;Business Process Model -> Technical Components/Requirements Model;Process define the product specification;Supports;IS Technical Component Version management system;class_0
controlled;gemm4_e4b;3;Business Process Model -> Concept Model;Process Product design;uses;Concept Specification Document;class_2
controlled;gemm4_e4b;3;Business Process Model -> Concept Model;Process Product design;creates;Concept Design description;class_2
controlled;gemm4_e4b;3;Business Process Model -> Technical Components/Requirements Model;Process Product design;Supports;IS Technical Component Production system;class_0
controlled;gemm4_e4b;3;Business Process Model -> Technical Components/Requirements Model;Process Product design;Supports;IS Technical Component Version management system;class_0
controlled;gemm4_e4b;3;Technical Components/Requirements Model -> Concept Model;IS Technical Component Production system;supports;Concept Product;class_1
controlled;gemm4_e4b;3;Technical Components/Requirements Model -> Concept Model;IS Technical Component Version management system;supports;Attribute Version;class_1
controlled;gemm4_e4b;3;Technical Components/Requirements Model -> Concept Model;IS Technical Component Social media studio;supports;Concept Campaign plan;class_1
controlled;gemm4_e4b;3;Technical Components/Requirements Model -> Concept Model;IS Technical Component SM life system;supports;Attribute Social media activities;class_1
controlled;gemm4_e4b;3;Technical Components/Requirements Model -> Concept Model;IS Technical Component SM authoring system;supports;Attribute Social media activities;class_1
controlled;gemm4_e4b;3;Technical Components/Requirements Model -> Concept Model;IS Technical Component SM repository;supports;Attribute Social media activities;class_1
controlled;gemm4_e4b;3;Marketing Model -> Concept Model;Process Plan marketing campaign;requires;Concept Campaign target document;class_2
controlled;gemm4_e4b;3;Marketing Model -> Concept Model;Process Plan marketing campaign;creates;Concept Campaign plan;class_2
controlled;gemm4_e4b;3;Marketing Model -> Concept Model;Process Run social media campaign;uses;Concept Campaign plan;class_2
controlled;gemm4_e4b;3;Marketing Model -> Concept Model;Process Run social media campaign;creates;Concept Campaign statistics;class_2
controlled;gemm4_e4b;3;Marketing Model -> Technical Components/Requirements Model;Process Run social media campaign;uses;IS Technical Component Social media studio;class_1
controlled;gemm4_e4b;3;Marketing Model -> Concept Model;Process Run print media campaign;uses;Concept Campaign plan;class_2
controlled;gemm4_e4b;3;Marketing Model -> Concept Model;Process Run print media campaign;creates;Concept Campaign statistics;class_2
controlled;gemm4_e4b;3;Marketing Model -> Concept Model;Process Supervise campaign results;uses;Concept Campaign statistics;class_2
controlled;gemm4_e4b;3;Marketing Model -> Concept Model;Process Supervise campaign results;creates;Concept Campaign result document;class_2
controlled;gemm4_e4b;4;Goal Model -> Customer Order Model;Goal Providing most energy-efficient heating solution in market;motivates;External Process Submit customer order;class_0
controlled;gemm4_e4b;4;Goal Model -> Customer Order Model;Problem Company has not much experience with online information processing;Affects;Process Handle customer order;class_0
controlled;gemm4_e4b;4;Actors/Resources Model -> Goal Model;Role Product Owner;is responsible for;Goal Providing most energy-efficient heating solution in market;reference
controlled;gemm4_e4b;4;Actors/Resources Model -> Business Process Model;Role Product Owner;performs;Process target setting;reference
controlled;gemm4_e4b;4;Actors/Resources Model -> Business Process Model;Role Product Owner;performs;Process define the product specification;reference
controlled;gemm4_e4b;4;Actors/Resources Model -> Technical Components/Requirements Model;Role Product Owner;is responsible for;IS Technical Component Production system;class_0
controlled;gemm4_e4b;4;Actors/Resources Model -> Product/Service Model;Role Product Owner;is responsible for;Feature energy-efficient;class_1
controlled;gemm4_e4b;4;Actors/Resources Model -> Product/Service Model;Organizational Unit Product development department;is responsible for;Unspecific/Product/Service Smart Heat;class_0
controlled;gemm4_e4b;4;Actors/Resources Model -> Goal Model;Role Product designer;is responsible for;Goal Minimize energy consumption of heat pump;reference
controlled;gemm4_e4b;4;Actors/Resources Model -> Business Process Model;Role Product designer;performs;Process Product design;reference
controlled;gemm4_e4b;4;Actors/Resources Model -> Product/Service Model;Role Product designer;is responsible for;Feature energy-efficient;class_1
controlled;gemm4_e4b;4;Actors/Resources Model -> Technical Components/Requirements Model;Role Social media designer;is responsible for;IS Technical Component Social media studio;class_0
controlled;gemm4_e4b;4;Actors/Resources Model -> Technical Components/Requirements Model;Role General Manager;is responsible for;IS Technical Component Enterprise resource planning system;class_0
controlled;gemm4_e4b;4;Actors/Resources Model -> Product/Service Model;Role General Manager;is responsible for;Unspecific/Product/Service Smart Heat;class_0
controlled;gemm4_e4b;4;Business Process Model -> Concept Model;Process target setting;creates;Concept Campaign target document;class_0
controlled;gemm4_e4b;4;Business Process Model -> Technical Components/Requirements Model;Process target setting;uses;IS Technical Component Product planning system;class_0
controlled;gemm4_e4b;4;Business Process Model -> Concept Model;Information Set customer survey;Supports;Concept Customer Survey;connector_class_2
controlled;gemm4_e4b;4;Business Process Model -> Concept Model;Information Set target features;Supports;Concept Target Feature;connector_class_2
controlled;gemm4_e4b;4;Business Process Model -> Concept Model;Process define the product specification;creates;Concept Product;class_0
controlled;gemm4_e4b;4;Business Process Model -> Technical Components/Requirements Model;Process define the product specification;uses;IS Technical Component Product planning system;class_0
controlled;gemm4_e4b;4;Business Process Model -> Concept Model;Information Set specification document;Supports;Concept Specification Document;connector_class_2
controlled;gemm4_e4b;4;Business Process Model -> Concept Model;Process Product design;creates;Concept Design description;class_2
controlled;gemm4_e4b;4;Business Process Model -> Technical Components/Requirements Model;Process Product design;uses;IS Technical Component Version management system;class_1
controlled;gemm4_e4b;4;Business Process Model -> Concept Model;Information Set Design description;Supports;Concept Design description;connector_class_2
controlled;gemm4_e4b;4;Technical Components/Requirements Model -> Concept Model;IS Technical Component Production system;supports;Concept Product;class_1
controlled;gemm4_e4b;4;Technical Components/Requirements Model -> Concept Model;IS Technical Component Version management system;supports;Concept Product;class_1
controlled;gemm4_e4b;4;Technical Components/Requirements Model -> Concept Model;IS Technical Component Social media studio;supports;Concept Campaign plan;class_1
controlled;gemm4_e4b;4;Technical Components/Requirements Model -> Concept Model;IS Technical Component Product planning system;supports;Concept Product;class_0
controlled;gemm4_e4b;4;Technical Components/Requirements Model -> Concept Model;IS Technical Component Enterprise resource planning system;supports;Concept Order specification;class_1
controlled;gemm4_e4b;4;Product/Service Model -> Concept Model;Unspecific/Product/Service Smart Heat;relates to;Concept Heat pump;class_2
controlled;gemm4_e4b;4;Product/Service Model -> Concept Model;Feature energy-efficient;relates to;Concept Feature;class_2
controlled;gemm4_e4b;4;Product/Service Model -> Concept Model;Unspecific/Product/Service Heat pump;relates to;Concept Heat pump;reference
controlled;gemm4_e4b;4;Product/Service Model -> Concept Model;Feature Zero-emission energy production;relates to;Concept Zero-emission energy production;reference
controlled;gemm4_e4b;4;Product/Service Model -> Concept Model;Unspecific/Product/Service Maintenance and trouble-shooting;relates to;Concept Product;class_2
controlled;gemm4_e4b;4;Marketing Model -> Concept Model;Process Plan marketing campaign;requires;Concept Campaign target document;class_2
controlled;gemm4_e4b;4;Marketing Model -> Concept Model;Process Plan marketing campaign;creates;Concept Campaign plan;class_2
controlled;gemm4_e4b;4;Marketing Model -> Concept Model;Process Run social media campaign;uses;Concept Campaign plan;class_2
controlled;gemm4_e4b;4;Marketing Model -> Concept Model;Process Run social media campaign;Supports;Concept Campaign statistics;class_2
controlled;gemm4_e4b;4;Marketing Model -> Technical Components/Requirements Model;Process Run social media campaign;uses;IS Technical Component Social media studio;class_1
controlled;gemm4_e4b;4;Marketing Model -> Technical Components/Requirements Model;Process Run social media campaign;uses;IS Technical Component SM authoring system;class_1
controlled;gemm4_e4b;4;Marketing Model -> Technical Components/Requirements Model;Process Run social media campaign;uses;IS Technical Component SM life system;class_1
controlled;gemm4_e4b;4;Marketing Model -> Technical Components/Requirements Model;Process Run social media campaign;uses;IS Technical Component SM repository;class_1
controlled;gemm4_e4b;4;Marketing Model -> Concept Model;Process Run print media campaign;uses;Concept Campaign plan;class_2
controlled;gemm4_e4b;4;Marketing Model -> Concept Model;Process Run print media campaign;Supports;Concept Campaign statistics;class_2
controlled;gemm4_e4b;4;Marketing Model -> Concept Model;Process Supervise campaign results;uses;Concept Campaign statistics;class_2
controlled;gemm4_e4b;4;Marketing Model -> Concept Model;Process Supervise campaign results;creates;Concept Campaign result document;class_2
controlled;gemm4_e4b;4;Customer Order Model -> Concept Model;External Process Submit customer order;creates;Concept Order specification;class_2
controlled;gemm4_e4b;4;Customer Order Model -> Concept Model;Process Check order validity;uses;Concept Order specification;class_2
controlled;gemm4_e4b;4;Customer Order Model -> Concept Model;Process Check order validity;creates;Concept Verified order specification;class_2
controlled;gemm4_e4b;4;Customer Order Model -> Concept Model;Process Check order validity;creates;Concept Rejected order specification;class_2
controlled;gemm4_e4b;4;Customer Order Model -> Concept Model;Process Handle customer order;uses;Concept Order specification;class_1
controlled;gemm4_e4b;4;Customer Order Model -> Concept Model;Process Handle customer order;creates;Concept Order confirmation;class_2
controlled;gemm4_e4b;4;Customer Order Model -> Technical Components/Requirements Model;Process Handle customer order;requires;IS Technical Component Product planning system;class_2
controlled;gemm4_e4b;4;Customer Order Model -> Technical Components/Requirements Model;Process Handle customer order;requires;IS Technical Component Enterprise resource planning system;class_2
controlled;gemm4_e4b;4;Customer Order Model -> Technical Components/Requirements Model;Process Handle customer order;requires;IS Technical Component Distributed database;class_1
controlled;gemm4_e4b;4;Customer Order Model -> Concept Model;Process Reject customer order;uses;Concept Rejected order specification;class_2
controlled;gemm4_e4b;4;Customer Order Model -> Concept Model;Process Prepare product delivery;requires;Concept Order confirmation;class_2
controlled;gemm4_e4b;4;Handle Order Model -> Concept Model;Information Set verified order specification;Supports;Concept Verified order specification;connector_class_2
controlled;gemm4_e4b;4;Handle Order Model -> Concept Model;Information Set Order confirmation;Supports;Concept Order confirmation;connector_class_2
organized;gemm4_e4b;1;Goal Model -> Concept Model;Goal Providing most energy-efficient heating solution in market;motivates;Attribute Energy-efficiency;class_2
organized;gemm4_e4b;1;Goal Model -> Concept Model;Goal Providing most energy-efficient heating solution in market;requires;Concept Target Feature;class_1
organized;gemm4_e4b;1;Goal Model -> Business Process Model;Goal Providing most energy-efficient heating solution in market;motivates;Process define the product specification;class_1
organized;gemm4_e4b;1;Goal Model -> Technical Components/Requirements Model;Goal Providing most energy-efficient heating solution in market;motivates;IS Technical Component Production system;connector_class_2
organized;gemm4_e4b;1;Goal Model -> Technical Components/Requirements Model;Goal Providing most energy-efficient heating solution in market;motivates;IS Technical Component Version management system;connector_class_2
organized;gemm4_e4b;1;Goal Model -> Product/Service Model;Goal Providing most energy-efficient heating solution in market;requires;Feature energy-efficient;class_2
organized;gemm4_e4b;1;Goal Model -> Concept Model;Problem Energy consumption of current product version is too high;relates to;Attribute Energy consumption;class_2
organized;gemm4_e4b;1;Goal Model -> Concept Model;Problem Energy consumption of current product version is too high;motivates;Concept Target Feature;class_1
organized;gemm4_e4b;1;Goal Model -> Business Process Model;Problem Energy consumption of current product version is too high;motivates;Process target setting;class_1
organized;gemm4_e4b;1;Goal Model -> Business Process Model;Problem Energy consumption of current product version is too high;motivates;Information Set target features;class_1
organized;gemm4_e4b;1;Goal Model -> Technical Components/Requirements Model;Problem Energy consumption of current product version is too high;Hinders;IS Technical Component Production system;class_0
organized;gemm4_e4b;1;Goal Model -> Product/Service Model;Problem Energy consumption of current product version is too high;motivates;Feature energy-efficient;class_1
organized;gemm4_e4b;1;Actors/Resources Model -> Goal Model;Role Product Owner;is responsible for;Goal Providing most energy-efficient heating solution in market;reference
organized;gemm4_e4b;1;Actors/Resources Model -> Business Process Model;Role Product Owner;is responsible for;Process target setting;connector_class_2
organized;gemm4_e4b;1;Actors/Resources Model -> Business Process Model;Role Product Owner;is responsible for;Process define the product specification;connector_class_2
organized;gemm4_e4b;1;Actors/Resources Model -> Product/Service Model;Role Product Owner;is responsible for;Unspecific/Product/Service Smart Heat;class_2
organized;gemm4_e4b;1;Actors/Resources Model -> Goal Model;Organizational Unit Product development department;is responsible for;Goal Providing most energy-efficient heating solution in market;class_0
organized;gemm4_e4b;1;Actors/Resources Model -> Goal Model;Organizational Unit Product development department;is responsible for;Problem Energy consumption of current product version is too high;class_0
organized;gemm4_e4b;1;Actors/Resources Model -> Business Process Model;Organizational Unit Product development department;performs;Process target setting;class_1
organized;gemm4_e4b;1;Actors/Resources Model -> Business Process Model;Organizational Unit Product development department;performs;Process define the product specification;class_1
organized;gemm4_e4b;1;Technical Components/Requirements Model -> Concept Model;IS Technical Component Production system;supports;Concept Product;class_1
organized;gemm4_e4b;1;Technical Components/Requirements Model -> Concept Model;IS Technical Component Production system;supports;Concept Specification Document;class_1
organized;gemm4_e4b;1;Technical Components/Requirements Model -> Concept Model;IS Technical Component Production system;has requirement;Concept Target Feature;class_0
organized;gemm4_e4b;1;Technical Components/Requirements Model -> Concept Model;IS Technical Component Version management system;supports;Concept Product;class_1
organized;gemm4_e4b;1;Technical Components/Requirements Model -> Concept Model;IS Technical Component Version management system;supports;Attribute Version;class_1
organized;gemm4_e4b;2;Goal Model -> Concept Model;Goal Providing most energy-efficient heating solution in market;Supports;Attribute Energy-efficiency;class_2
organized;gemm4_e4b;2;Goal Model -> Concept Model;Goal Providing most energy-efficient heating solution in market;relates to;Concept Heat pump;class_1
organized;gemm4_e4b;2;Goal Model -> Business Process Model;Goal Providing most energy-efficient heating solution in market;motivates;Process target setting;class_1
organized;gemm4_e4b;2;Goal Model -> Technical Components/Requirements Model;Goal Providing most energy-efficient heating solution in market;motivates;IS Technical Component Production system;connector_class_2
organized;gemm4_e4b;2;Goal Model -> Product/Service Model;Goal Providing most energy-efficient heating solution in market;Supports;Feature energy-efficient;class_2
organized;gemm4_e4b;2;Goal Model -> Concept Model;Problem Energy consumption of current product version is too high;Defined by;Attribute Energy consumption;class_2
organized;gemm4_e4b;2;Goal Model -> Business Process Model;Problem Energy consumption of current product version is too high;motivates;Process target setting;class_1
organized;gemm4_e4b;2;Goal Model -> Technical Components/Requirements Model;Problem Energy consumption of current product version is too high;motivates;IS Technical Component Production system;class_0
organized;gemm4_e4b;2;Goal Model -> Product/Service Model;Problem Energy consumption of current product version is too high;Hinders;Feature energy-efficient;class_1
organized;gemm4_e4b;2;Goal Model -> Concept Model;Goal Minimize energy consumption of heat pump;requires;Attribute Energy consumption;class_2
organized;gemm4_e4b;2;Goal Model -> Business Process Model;Goal Minimize energy consumption of heat pump;requires;Process define the product specification;class_1
organized;gemm4_e4b;2;Goal Model -> Technical Components/Requirements Model;Goal Minimize energy consumption of heat pump;Supports;IS Technical Component Production system;class_0
organized;gemm4_e4b;2;Goal Model -> Product/Service Model;Goal Minimize energy consumption of heat pump;Supports;Feature energy-efficient;class_1
organized;gemm4_e4b;2;Goal Model -> Concept Model;Goal Produce remaining energy required by heat pump with photovoltaic module;Supports;Concept Zero-emission energy production;connector_class_2
organized;gemm4_e4b;2;Goal Model -> Business Process Model;Goal Produce remaining energy required by heat pump with photovoltaic module;requires;Process define the product specification;class_1
organized;gemm4_e4b;2;Goal Model -> Technical Components/Requirements Model;Goal Produce remaining energy required by heat pump with photovoltaic module;Supports;IS Technical Component Production system;class_0
