"modell";"phase";"startelement";"connection";"end_element";"klassifikation"
"gemm4_e4b";"2";"Goal Produce remaining energy required by heat pump with photovoltaic module";"requires";"Process define the product specification";"1"
"gemm4_e4b";"2";"Goal Produce remaining energy required by heat pump with photovoltaic module";"Supports";"IS Technical Component Production system";"0"
"gemm4_e4b";"2";"Goal Produce remaining energy required by heat pump with photovoltaic module";"Supports";"Feature Zero-emission energy production";"1"
"gemm4_e4b";"2";"Role Product Owner";"is responsible for";"Unspecific/Product/Service Smart Heat";"2"
"gemm4_e4b";"2";"Role Product Owner";"is responsible for";"Feature energy-efficient";"1"
"gemm4_e4b";"2";"Role Product designer";"is responsible for";"Unspecific/Product/Service Heat pump";"0"
"gemm4_e4b";"2";"Process target setting";"uses";"Concept Customer Survey";"2"
"gemm4_e4b";"2";"Process target setting";"creates";"Concept Target Feature";"2"
"gemm4_e4b";"2";"Process define the product specification";"uses";"Concept Target Feature";"2"
"gemm4_e4b";"2";"Process define the product specification";"creates";"Concept Specification Document";"2"
"gemm4_e4b";"2";"Process Product design";"uses";"Concept Specification Document";"2"
"gemm4_e4b";"2";"Process Product design";"creates";"Concept Design description";"2"
"gemm4_e4b";"3";"Goal Providing most energy-efficient heating solution in market";"motivates";"Concept Heat pump";"1"
"gemm4_e4b";"3";"Goal Providing most energy-efficient heating solution in market";"motivates";"Process target setting";"1"
"gemm4_e4b";"3";"Goal Providing most energy-efficient heating solution in market";"Supports";"Feature energy-efficient";"2"
"gemm4_e4b";"3";"Problem Energy consumption of current product version is too high";"Hinders";"Attribute Energy-efficiency";"1"
"gemm4_e4b";"3";"Problem Energy consumption of current product version is too high";"motivates";"Process Product design";"1"
"gemm4_e4b";"3";"Problem Energy consumption of current product version is too high";"Hinders";"Feature energy-efficient";"1"
"gemm4_e4b";"3";"Goal Minimize energy consumption of heat pump";"Supports";"Attribute Energy consumption";"2"
"gemm4_e4b";"3";"Goal Minimize energy consumption of heat pump";"requires";"Process define the product specification";"1"
"gemm4_e4b";"3";"Goal Minimize energy consumption of heat pump";"Supports";"Feature energy-efficient";"1"
"gemm4_e4b";"3";"Goal Produce remaining energy required by heat pump with photovoltaic module";"Supports";"Feature Zero-emission energy production";"1"
"gemm4_e4b";"3";"Constraint Maximum energy production of photovoltaic module is 50 kWh";"Affects";"Attribute Energy-efficiency";"0"
"gemm4_e4b";"3";"Goal Develop new heat extractor with very low energy consumption";"Supports";"Attribute Energy consumption";"2"
"gemm4_e4b";"3";"Goal Develop new heat extractor with very low energy consumption";"Supports";"Feature energy-efficient";"1"
"gemm4_e4b";"3";"Goal Re-design existing heat extractor bay adapting it for a new refrigerant";"Supports";"Concept Product";"1"
"gemm4_e4b";"3";"Goal Re-design existing heat extractor bay adapting it for a new refrigerant";"Supports";"Feature energy-efficient";"1"
"gemm4_e4b";"3";"Role Product Owner";"is responsible for";"IS Technical Component Production system";"0"
"gemm4_e4b";"3";"Role Product Owner";"is responsible for";"Unspecific/Product/Service Smart Heat";"2"
"gemm4_e4b";"3";"Role Product Owner";"is responsible for";"Feature energy-efficient";"1"
"gemm4_e4b";"3";"Organizational Unit Product development department";"is responsible for";"Goal Providing most energy-efficient heating solution in market";"0"
"gemm4_e4b";"3";"Organizational Unit Product development department";"is responsible for";"Unspecific/Product/Service Smart Heat";"0"
"gemm4_e4b";"3";"Role Product designer";"is responsible for";"Unspecific/Product/Service Heat pump";"0"
"gemm4_e4b";"3";"Organizational Unit Multi-Heat";"is responsible for";"Goal Providing most energy-efficient heating solution in market";"2"
"gemm4_e4b";"3";"Process target setting";"Input";"Concept Customer Survey";"2"
"gemm4_e4b";"3";"Process target setting";"Output";"Concept Target Feature";"2"
"gemm4_e4b";"3";"Process define the product specification";"Output";"Concept Specification Document";"2"
"gemm4_e4b";"3";"Process define the product specification";"uses";"IS Technical Component Production system";"1"
"gemm4_e4b";"3";"Information Set specification document";"requires";"IS Technical Component Version management system";"0"
"gemm4_e4b";"3";"Process Product design";"Output";"Concept Design description";"2"
"gemm4_e4b";"3";"Process Product design";"uses";"IS Technical Component Production system";"1"
"gemm4_e4b";"3";"IS Technical Component Production system";"supports";"Concept Design description";"1"
"gemm4_e4b";"3";"IS Technical Component Version management system";"has requirement";"Concept Specification Document";"0"
"gemm4_e4b";"3";"IS Technical Component Social media studio";"supports";"Concept Campaign plan";"1"
"gemm4_e4b";"3";"IS Technical Component SM life system";"supports";"Concept Campaign plan";"1"
"gemm4_e4b";"3";"IS Technical Component SM authoring system";"supports";"Concept Campaign plan";"1"
"gemm4_e4b";"3";"IS Technical Component SM repository";"supports";"Concept Campaign plan";"1"
"gemm4_e4b";"3";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Heat pump";"2"
"gemm4_e4b";"3";"Feature energy-efficient";"relates to";"Concept Feature";"2"
"gemm4_e4b";"3";"Component Photovoltaic module";"relates to";"Concept Zero-emission energy production";"2"
"gemm4_e4b";"3";"Process Plan marketing campaign";"requires";"Concept Campaign target document";"2"
"gemm4_e4b";"3";"Process Plan marketing campaign";"creates";"Concept Campaign plan";"2"
"gemm4_e4b";"3";"Process Run social media campaign";"requires";"Concept Campaign plan";"2"
"gemm4_e4b";"3";"Process Run social media campaign";"creates";"Concept Campaign statistics";"2"
"gemm4_e4b";"3";"Process Run social media campaign";"uses";"IS Technical Component Social media studio";"1"
"gemm4_e4b";"3";"Process Run print media campaign";"requires";"Concept Campaign plan";"2"
"gemm4_e4b";"3";"Process Run print media campaign";"creates";"Concept Campaign statistics";"2"
"gemm4_e4b";"3";"Process Supervise campaign results";"requires";"Concept Campaign statistics";"2"
"gemm4_e4b";"3";"Process Supervise campaign results";"creates";"Concept Campaign result document";"2"
"gemm4_e4b";"4";"Role Product Owner";"is responsible for";"Process Product design";"0"
"gemm4_e4b";"4";"Role Product Owner";"is responsible for";"IS Technical Component Production system";"0"
"gemm4_e4b";"4";"Role Product Owner";"is responsible for";"Unspecific/Product/Service Smart Heat";"2"
"gemm4_e4b";"4";"Role Product designer";"performs";"IS Technical Component Production system";"0"
"gemm4_e4b";"4";"Role Product designer";"is responsible for";"Feature energy-efficient";"1"
"gemm4_e4b";"4";"Organizational Unit Multi-Heat";"performs";"Process Check availability";"1"
"gemm4_e4b";"4";"Organizational Unit Social media group";"performs";"Process Run social media campaign";"1"
"gemm4_e4b";"4";"Organizational Unit Print media group";"performs";"Process Run print media campaign";"1"
"gemm4_e4b";"4";"Role Social media designer";"performs";"IS Technical Component Social media studio";"0"
"gemm4_e4b";"4";"Role General Manager";"is responsible for";"Process Plan marketing campaign";"0"
"gemm4_e4b";"4";"Process target setting";"Input";"Concept Customer Survey";"2"
"gemm4_e4b";"4";"Process target setting";"Output";"Concept Target Feature";"2"
"gemm4_e4b";"4";"Process define the product specification";"Input";"Concept Target Feature";"2"
"gemm4_e4b";"4";"Process define the product specification";"Output";"Concept Specification Document";"2"
"gemm4_e4b";"4";"Process Product design";"Input";"Concept Specification Document";"2"
"gemm4_e4b";"4";"Process Product design";"Output";"Concept Design description";"2"
"gemm4_e4b";"4";"IS Technical Component Production system";"supports";"Concept Product";"1"
"gemm4_e4b";"4";"IS Technical Component Version management system";"supports";"Concept Product";"1"
"gemm4_e4b";"4";"IS Technical Component Social media studio";"supports";"Concept Campaign plan";"1"
"gemm4_e4b";"4";"IS Technical Component SM life system";"supports";"Concept Campaign plan";"1"
"gemm4_e4b";"4";"IS Technical Component SM authoring system";"supports";"Concept Campaign plan";"1"
"gemm4_e4b";"4";"IS Technical Component SM repository";"supports";"Concept Campaign plan";"1"
"gemm4_e4b";"4";"IS Technical Component Product planning system";"supports";"Concept Order specification";"1"
"gemm4_e4b";"4";"IS Technical Component Enterprise resource planning system";"supports";"Concept Order specification";"1"
"gemm4_e4b";"4";"IS Technical Component Distributed database";"supports";"Concept Order specification";"1"
"gemm4_e4b";"4";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Heat pump";"2"
"gemm4_e4b";"4";"Feature energy-efficient";"relates to";"Concept Heat pump";"1"
"gemm4_e4b";"4";"Component Photovoltaic module";"relates to";"Concept Zero-emission energy production";"2"
"gemm4_e4b";"4";"Process Plan marketing campaign";"requires";"Concept Campaign target document";"2"
"gemm4_e4b";"4";"Process Plan marketing campaign";"creates";"Concept Campaign plan";"2"
"gemm4_e4b";"4";"Process Run social media campaign";"uses";"Concept Campaign plan";"2"
"gemm4_e4b";"4";"Process Run social media campaign";"Supports";"Concept Campaign statistics";"2"
"gemm4_e4b";"4";"Process Run social media campaign";"uses";"IS Technical Component SM authoring system";"1"
"gemm4_e4b";"4";"Process Run print media campaign";"uses";"Concept Campaign plan";"2"
"gemm4_e4b";"4";"Process Run print media campaign";"Supports";"Concept Campaign statistics";"2"
"gemm4_e4b";"4";"Process Supervise campaign results";"uses";"Concept Campaign statistics";"2"
"gemm4_e4b";"4";"Process Supervise campaign results";"creates";"Concept Campaign result document";"2"
"gemm4_e4b";"4";"External Process Submit customer order";"creates";"Concept Order specification";"2"
"gemm4_e4b";"4";"Process Check order validity";"uses";"Concept Order specification";"2"
"gemm4_e4b";"4";"Process Check order validity";"creates";"Concept Verified order specification";"2"
"gemm4_e4b";"4";"Process Check order validity";"creates";"Concept Rejected order specification";"2"
"gemm4_e4b";"4";"Process Check order validity";"requires";"IS Technical Component Product planning system";"0"
"gemm4_e4b";"4";"Process Handle customer order";"creates";"Concept Order confirmation";"2"
"gemm4_e4b";"4";"Process Handle customer order";"requires";"IS Technical Component Product planning system";"2"
"gemm4_e4b";"4";"Process Handle customer order";"requires";"IS Technical Component Enterprise resource planning system";"2"
"gemm4_e4b";"4";"Process Reject customer order";"uses";"Concept Rejected order specification";"2"
"gemm4_e4b";"4";"Process Prepare product delivery";"creates";"Concept Delivery order";"2"
"gemm4_e4b";"4";"Process Prepare product delivery";"requires";"IS Technical Component Enterprise resource planning system";"0"
"gemm4_e4b";"4";"Process Check availability";"uses";"Concept Product";"1"
"gemm4_e4b";"4";"Process Check availability";"requires";"IS Technical Component Enterprise resource planning system";"1"
"gemm4_e4b";"4";"Process Check customer status";"requires";"Concept Order specification";"1"
"gemm4_e4b";"4";"Process Check customer status";"requires";"IS Technical Component Enterprise resource planning system";"1"
"gemm4_e4b";"4";"Process Check configuration";"uses";"Concept Specification Document";"0"
"gemm4_e4b";"4";"Process Check configuration";"requires";"IS Technical Component Product planning system";"1"
"qwen3_5_4b";"1";"Goal Providing most energy-efficient heating solution in market";"requires";"Concept Product";"1"
"qwen3_5_4b";"1";"Goal Providing most energy-efficient heating solution in market";"requires";"Concept Target Feature";"1"
"qwen3_5_4b";"1";"Goal Providing most energy-efficient heating solution in market";"requires";"Feature energy-efficient";"2"
"qwen3_5_4b";"1";"Problem Energy consumption of current product version is too high";"Hinders";"Attribute Energy-efficiency";"1"
"qwen3_5_4b";"1";"Problem Energy consumption of current product version is too high";"motivates";"IS Technical Component Version management system";"0"
"qwen3_5_4b";"1";"Problem Energy consumption of current product version is too high";"requires";"Feature energy-efficient";"1"
"qwen3_5_4b";"1";"Role Product Owner";"is responsible for";"Unspecific/Product/Service Smart Heat";"2"
"qwen3_5_4b";"2";"Goal Providing most energy-efficient heating solution in market";"requires";"Attribute Energy-efficiency";"2"
"qwen3_5_4b";"2";"Goal Providing most energy-efficient heating solution in market";"motivates";"Process target setting";"1"
"qwen3_5_4b";"2";"Goal Providing most energy-efficient heating solution in market";"requires";"Feature energy-efficient";"2"
"qwen3_5_4b";"2";"Problem Energy consumption of current product version is too high";"requires";"Concept Product";"2"
"qwen3_5_4b";"2";"Problem Energy consumption of current product version is too high";"motivates";"Process target setting";"1"
"qwen3_5_4b";"2";"Problem Energy consumption of current product version is too high";"requires";"Feature energy-efficient";"1"
"qwen3_5_4b";"2";"Goal Minimize energy consumption of heat pump";"requires";"Concept Heat pump";"2"
"qwen3_5_4b";"2";"Goal Minimize energy consumption of heat pump";"requires";"Process define the product specification";"1"
"qwen3_5_4b";"2";"Goal Minimize energy consumption of heat pump";"requires";"Feature energy-efficient";"1"
"qwen3_5_4b";"2";"Goal Produce remaining energy required by heat pump with photovoltaic module";"requires";"Process Product design";"1"
"qwen3_5_4b";"2";"Goal Produce remaining energy required by heat pump with photovoltaic module";"requires";"Feature Zero-emission energy production";"1"
"qwen3_5_4b";"2";"Role Product Owner";"is responsible for";"Unspecific/Product/Service Smart Heat";"2"
"qwen3_5_4b";"2";"Role Product designer";"is responsible for";"Feature energy-efficient";"1"
"qwen3_5_4b";"2";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Product";"2"
"qwen3_5_4b";"2";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Heat pump";"2"
"qwen3_5_4b";"2";"Feature energy-efficient";"relates to";"Concept Feature";"2"
"qwen3_5_4b";"2";"Feature Zero-emission energy production";"relates to";"Concept Feature";"2"
"qwen3_5_4b";"3";"Goal Providing most energy-efficient heating solution in market";"relates to";"Concept Heat pump";"1"
"qwen3_5_4b";"3";"Goal Providing most energy-efficient heating solution in market";"relates to";"Attribute Energy-efficiency";"2"
"qwen3_5_4b";"3";"Problem Energy consumption of current product version is too high";"relates to";"Concept Product";"2"
"qwen3_5_4b";"3";"Goal Minimize energy consumption of heat pump";"requires";"Attribute Energy consumption";"2"
"qwen3_5_4b";"3";"Constraint Maximum energy production of photovoltaic module is 50 kWh";"relates to";"Concept Product";"1"
"qwen3_5_4b";"3";"Goal Develop new heat extractor with very low energy consumption";"requires";"Concept Design description";"1"
"qwen3_5_4b";"3";"Goal Re-design existing heat extractor bay adapting it for a new refrigerant";"requires";"Concept Design description";"1"
"qwen3_5_4b";"3";"Problem Short period for development";"relates to";"Concept Product";"1"
"qwen3_5_4b";"3";"Problem New refrigerants are very expensive";"relates to";"Concept Product";"1"
"qwen3_5_4b";"3";"Role Product Owner";"is responsible for";"Unspecific/Product/Service Smart Heat";"2"
"qwen3_5_4b";"3";"Role Product designer";"is responsible for";"Feature energy-efficient";"1"
"qwen3_5_4b";"3";"Process target setting";"Input";"Concept Customer Survey";"2"
"qwen3_5_4b";"3";"Process target setting";"Output";"Concept Target Feature";"2"
"qwen3_5_4b";"3";"Process target setting";"uses";"IS Technical Component Production system";"1"
"qwen3_5_4b";"3";"Process define the product specification";"Input";"Concept Target Feature";"2"
"qwen3_5_4b";"3";"Process define the product specification";"Output";"Concept Specification Document";"2"
"qwen3_5_4b";"3";"Process define the product specification";"uses";"IS Technical Component Version management system";"1"
"qwen3_5_4b";"3";"Process Product design";"Input";"Concept Specification Document";"2"
"qwen3_5_4b";"3";"Process Product design";"Output";"Concept Design description";"2"
"qwen3_5_4b";"3";"Process Product design";"uses";"IS Technical Component Production system";"1"
"qwen3_5_4b";"3";"IS Technical Component Production system";"supports";"Concept Product";"1"
"qwen3_5_4b";"3";"IS Technical Component Version management system";"applies to";"Concept Target Feature";"1"
"qwen3_5_4b";"3";"IS Technical Component Social media studio";"supports";"Concept Campaign plan";"1"
"qwen3_5_4b";"3";"Process Plan marketing campaign";"Input";"Concept Campaign target document";"2"
"qwen3_5_4b";"3";"Process Plan marketing campaign";"creates";"Concept Campaign plan";"2"
"qwen3_5_4b";"3";"Process Run social media campaign";"Input";"Concept Campaign plan";"2"
"qwen3_5_4b";"3";"Process Run social media campaign";"creates";"Concept Campaign statistics";"2"
"qwen3_5_4b";"3";"Process Run print media campaign";"Input";"Concept Campaign plan";"2"
"qwen3_5_4b";"3";"Process Run print media campaign";"creates";"Concept Campaign statistics";"2"
"qwen3_5_4b";"3";"Process Supervise campaign results";"creates";"Concept Campaign result document";"2"
"qwen3_5_4b";"4";"Goal Providing most energy-efficient heating solution in market";"requires";"Feature energy-efficient";"2"
"qwen3_5_4b";"4";"Goal Produce remaining energy required by heat pump with photovoltaic module";"requires";"Feature Zero-emission energy production";"1"
"qwen3_5_4b";"4";"Goal Provide services supporting high availability of heat pump";"requires";"Feature Quick response to error situations";"1"
"qwen3_5_4b";"4";"Role Product Owner";"is responsible for";"Unspecific/Product/Service Smart Heat";"2"
"qwen3_5_4b";"4";"Role Product designer";"is responsible for";"Feature energy-efficient";"1"
"qwen3_5_4b";"4";"IS Technical Component Production system";"supports";"Concept Product";"1"
"qwen3_5_4b";"4";"IS Technical Component Version management system";"supports";"Concept Specification Document";"1"
"qwen3_5_4b";"4";"IS Technical Component Social media studio";"supports";"Concept Campaign plan";"1"
"qwen3_5_4b";"4";"IS Technical Component SM repository";"supports";"Concept Campaign plan";"1"
"qwen3_5_4b";"4";"IS Technical Component Product planning system";"supports";"Concept Order specification";"1"
"qwen3_5_4b";"4";"IS Technical Component Enterprise resource planning system";"supports";"Concept Order specification";"1"
"qwen3_5_4b";"4";"IS Technical Component Distributed database";"supports";"Concept Order specification";"1"
"qwen3_5_4b";"4";"Process Plan marketing campaign";"Output";"Concept Campaign plan";"2"
"qwen3_5_4b";"4";"Process Plan marketing campaign";"Input";"Concept Campaign target document";"2"
"qwen3_5_4b";"4";"Process Run social media campaign";"Input";"Concept Campaign plan";"2"
"qwen3_5_4b";"4";"Process Run social media campaign";"Output";"Concept Campaign statistics";"2"
"qwen3_5_4b";"4";"Process Run social media campaign";"uses";"IS Technical Component Social media studio";"1"
"qwen3_5_4b";"4";"Process Run print media campaign";"Input";"Concept Campaign plan";"2"
"qwen3_5_4b";"4";"Process Run print media campaign";"Output";"Concept Campaign statistics";"2"
"qwen3_5_4b";"4";"Process Supervise campaign results";"Output";"Concept Campaign result document";"2"
"qwen3_5_4b";"4";"Process Supervise campaign results";"Input";"Concept Campaign statistics";"2"
"qwen3_5_4b";"4";"Process Handle customer order";"uses";"IS Technical Component Product planning system";"2"
"qwen3_5_4b";"4";"Process Handle customer order";"uses";"IS Technical Component Enterprise resource planning system";"2"
"qwen3_5_4b";"4";"Process Check availability";"uses";"IS Technical Component Product planning system";"1"
"qwen3_5_4b";"4";"Process Check customer status";"uses";"IS Technical Component Enterprise resource planning system";"1"
"qwen3_5_4b";"4";"Process Check configuration";"uses";"IS Technical Component Product planning system";"1"
"qwen9b";"1";"Goal Providing most energy-efficient heating solution in market";"relates to";"Concept Product";"1"
"qwen9b";"1";"Goal Providing most energy-efficient heating solution in market";"relates to";"Attribute Energy-efficiency";"2"
"qwen9b";"1";"Goal Providing most energy-efficient heating solution in market";"motivates";"Process target setting";"1"
"qwen9b";"1";"Goal Providing most energy-efficient heating solution in market";"motivates";"Process define the product specification";"1"
"qwen9b";"1";"Goal Providing most energy-efficient heating solution in market";"requires";"Feature energy-efficient";"2"
"qwen9b";"1";"Problem Energy consumption of current product version is too high";"relates to";"Concept Product";"2"
"qwen9b";"1";"Problem Energy consumption of current product version is too high";"relates to";"Attribute Energy consumption";"2"
"qwen9b";"1";"Problem Energy consumption of current product version is too high";"motivates";"Process target setting";"1"
"qwen9b";"1";"Problem Energy consumption of current product version is too high";"motivates";"Process define the product specification";"1"
"qwen9b";"1";"Problem Energy consumption of current product version is too high";"requires";"IS Technical Component Production system";"0"
"qwen9b";"1";"Problem Energy consumption of current product version is too high";"requires";"IS Technical Component Version management system";"0"
"qwen9b";"1";"Problem Energy consumption of current product version is too high";"motivates";"Feature energy-efficient";"1"
"qwen9b";"1";"Role Product Owner";"is responsible for";"Unspecific/Product/Service Smart Heat";"2"
"qwen9b";"1";"Role Product Owner";"is responsible for";"Feature energy-efficient";"1"
"qwen9b";"1";"Process target setting";"Input";"Concept Customer Survey";"2"
"qwen9b";"1";"Process target setting";"Output";"Concept Target Feature";"2"
"qwen9b";"1";"Process define the product specification";"Input";"Concept Target Feature";"2"
"qwen9b";"1";"Process define the product specification";"Output";"Concept Specification Document";"2"
"qwen9b";"1";"IS Technical Component Production system";"supports";"Concept Product";"1"
"qwen9b";"1";"IS Technical Component Version management system";"supports";"Concept Product";"1"
"qwen9b";"1";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Specification Document";"1"
"qwen9b";"1";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Customer Survey";"1"
"qwen9b";"1";"Unspecific/Product/Service Smart Heat";"requires";"IS Technical Component Production system";"0"
"qwen9b";"1";"Unspecific/Product/Service Smart Heat";"requires";"IS Technical Component Version management system";"0"
"qwen9b";"1";"Feature energy-efficient";"relates to";"Concept Feature";"2"
"qwen9b";"1";"Feature energy-efficient";"motivates";"Concept Target Feature";"1"
"qwen9b";"2";"Goal Providing most energy-efficient heating solution in market";"motivates";"Process target setting";"1"
"qwen9b";"2";"Goal Providing most energy-efficient heating solution in market";"motivates";"Feature energy-efficient";"2"
"qwen9b";"2";"Problem Energy consumption of current product version is too high";"motivates";"IS Technical Component Production system";"0"
"qwen9b";"2";"Problem Energy consumption of current product version is too high";"motivates";"IS Technical Component Version management system";"0"
"qwen9b";"2";"Problem Energy consumption of current product version is too high";"motivates";"Feature energy-efficient";"1"
"qwen9b";"2";"Goal Minimize energy consumption of heat pump";"motivates";"IS Technical Component Production system";"0"
"qwen9b";"2";"Goal Minimize energy consumption of heat pump";"motivates";"IS Technical Component Version management system";"0"
"qwen9b";"2";"Goal Minimize energy consumption of heat pump";"motivates";"Feature energy-efficient";"1"
"qwen9b";"2";"Goal Produce remaining energy required by heat pump with photovoltaic module";"motivates";"IS Technical Component Production system";"0"
"qwen9b";"2";"Goal Produce remaining energy required by heat pump with photovoltaic module";"motivates";"IS Technical Component Version management system";"0"
"qwen9b";"2";"Goal Produce remaining energy required by heat pump with photovoltaic module";"motivates";"Feature Zero-emission energy production";"1"
"qwen9b";"2";"Role Product Owner";"is responsible for";"IS Technical Component Production system";"0"
"qwen9b";"2";"Role Product Owner";"is responsible for";"IS Technical Component Version management system";"0"
"qwen9b";"2";"Role Product Owner";"is responsible for";"Unspecific/Product/Service Smart Heat";"2"
"qwen9b";"2";"Role Product designer";"is responsible for";"Feature energy-efficient";"1"
"qwen9b";"2";"Role Product designer";"is responsible for";"Unspecific/Product/Service Heat pump";"0"
"qwen9b";"2";"Organizational Unit Organization";"is responsible for";"Goal Providing most energy-efficient heating solution in market";"1"
"qwen9b";"2";"Process target setting";"uses";"IS Technical Component Production system";"1"
"qwen9b";"2";"Process target setting";"uses";"IS Technical Component Version management system";"1"
"qwen9b";"2";"Process define the product specification";"uses";"IS Technical Component Production system";"1"
"qwen9b";"2";"Process define the product specification";"uses";"IS Technical Component Version management system";"1"
"qwen9b";"2";"Process Product design";"uses";"IS Technical Component Production system";"1"
"qwen9b";"2";"Process Product design";"uses";"IS Technical Component Version management system";"1"
"qwen9b";"2";"IS Technical Component Production system";"supports";"Concept Product";"1"
"qwen9b";"2";"IS Technical Component Version management system";"supports";"Concept Product";"1"
"qwen9b";"2";"IS Technical Component Database system";"supports";"Concept Product";"1"
"qwen9b";"2";"IS Technical Component Transaction middleware";"supports";"Concept Product";"1"
"qwen9b";"2";"IS Technical Component User interface";"applies to";"Concept Design description";"0"
"qwen9b";"2";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Product";"2"
"qwen9b";"2";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Feature";"2"
"qwen9b";"2";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Heat pump";"2"
"qwen9b";"2";"Component indoor module";"relates to";"Concept Product";"1"
"qwen9b";"2";"Component outdoor module";"relates to";"Concept Product";"1"
"qwen9b";"2";"Feature energy-efficient";"relates to";"Concept Feature";"2"
"qwen9b";"2";"Feature energy-efficient";"relates to";"Concept Heat pump";"1"
"qwen9b";"2";"Unspecific/Product/Service Heat pump";"relates to";"Concept Product";"2"
"qwen9b";"2";"Component Photovoltaic module";"relates to";"Concept Zero-emission energy production";"2"
"qwen9b";"2";"Component Outdoor air exchange unit";"relates to";"Concept Product";"1"
"qwen9b";"3";"Goal Providing most energy-efficient heating solution in market";"motivates";"Process target setting";"1"
"qwen9b";"3";"Goal Providing most energy-efficient heating solution in market";"motivates";"IS Technical Component Social media studio";"0"
"qwen9b";"3";"Goal Providing most energy-efficient heating solution in market";"motivates";"Feature energy-efficient";"2"
"qwen9b";"3";"Problem Energy consumption of current product version is too high";"motivates";"Process target setting";"1"
"qwen9b";"3";"Problem Energy consumption of current product version is too high";"requires";"Feature energy-efficient";"1"
"qwen9b";"3";"Goal Minimize energy consumption of heat pump";"motivates";"Feature energy-efficient";"1"
"qwen9b";"3";"Goal Produce remaining energy required by heat pump with photovoltaic module";"motivates";"Feature Zero-emission energy production";"1"
"qwen9b";"3";"Constraint Maximum energy production of photovoltaic module is 50 kWh";"Affects";"Process Product design";"1"
